call_id,caller_number,called_number,start_time,call_duration,call_status,call_cost,data_usage_mb,data_cost,sms_count,sms_cost,is_roaming,roaming_surcharge,total_cost,t_c
efc3b4ba-220b-4b7e-a664-1346be4586ad,15352601069,19053636287,05-05-24 21:10,3258,NO_ANSWER,$32.58 ,4662.11,$23.31 ,23,$0.46 ,TRUE,$9.15 ,$65.50 ,$65.50 
29e0e9d2-16d2-4005-9afd-e28157ae87c8,14113471394,15912534114,09-07-24 21:10,3561,FAILED,$35.61 ,4268.75,$21.34 ,50,$1.00 ,TRUE,$7.52 ,$65.47 ,$65.47 
c55e8b54-6cf2-4a38-8dfb-913abdb060c9,16509954125,16184059837,09-03-24 21:10,3515,FAILED,$35.15 ,4176.25,$20.88 ,3,$0.06 ,TRUE,$9.26 ,65.35,$65.35 
dfe0fb2d-31d5-4728-ba21-11f2405fe47b,17032914602,12944388874,16-11-24 21:10,3577,BUSY,$35.77 ,3719.46,$18.60 ,31,$0.62 ,TRUE,$9.87 ,$64.86 ,$64.86 
e3451494-ac03-4037-8305-0e586f9ba802,17953884481,15362172708,28-05-24 21:10,3482,NO_ANSWER,$34.82 ,4432.96,$22.16 ,23,$0.46 ,TRUE,$7.29 ,$64.73 ,$64.73 
3d9d6295-8381-40ba-8921-1f3d3204f6cf,17983089839,16075382728,04-10-24 21:10,3445,ANSWERED,$34.45 ,4051.02,$20.26 ,41,$0.82 ,TRUE,$9.02 ,64.55,$64.55 
f2d6bebd-265d-4e54-a896-1ad0cff97708,13091449224,14466737384,19-07-24 21:10,2987,BUSY,$29.87 ,4983.44,$24.92 ,16,$0.32 ,TRUE,$9.42 ,$64.53 ,$64.53 
1f6edf93-6f6e-4c7c-bca7-f8401b57ca9f,12709606853,12678232864,15-09-24 21:10,3513,ANSWERED,$35.13 ,4288.28,$21.44 ,14,$0.28 ,TRUE,$7.67 ,64.52,$64.52 
5a18a953-3381-44e9-9936-d9e553efa6c0,19974813175,14043471876,28-03-24 21:10,3466,FAILED,$34.66 ,4313.83,$21.57 ,35,$0.70 ,TRUE,$7.52 ,$64.45 ,$64.45 
f5f66570-0926-459f-a7e8-6cb280185f28,19765062332,17722627015,29-09-24 21:10,3575,BUSY,$35.75 ,4362.68,$21.81 ,4,$0.08 ,TRUE,$6.71 ,$64.35 ,$64.35 
a37153c5-af15-4ac9-9c65-e810ff0ff78b,12708662171,17544582715,06-09-24 21:10,3246,FAILED,$32.46 ,4486.9,$22.43 ,30,$0.60 ,TRUE,$8.69 ,$64.18 ,$64.18 
d5e35a38-39fd-4eeb-b8c0-b8d114825663,16081913974,15401572994,10-02-24 21:10,3185,FAILED,$31.85 ,4640.68,$23.20 ,34,$0.68 ,TRUE,$8.27 ,$64.00 ,$64.00 
38cd6789-65bd-49c9-9839-86c61fc4d1fe,19572443773,19209512130,26-04-24 21:10,3313,NO_ANSWER,$33.13 ,4554.65,$22.77 ,21,$0.42 ,TRUE,$7.59 ,63.91,$63.91 
f1a9dc30-d56e-41a4-a6bd-3c300c849d43,19489702896,15543387525,13-10-24 21:10,3420,NO_ANSWER,$34.20 ,4634.04,$23.17 ,18,$0.36 ,TRUE,$5.92 ,63.65,$63.65 
928914e6-ed8d-40a2-bb9b-17ca4e7177cc,12944688336,16677613402,14-07-24 21:10,3173,ANSWERED,$31.73 ,4724.62,$23.62 ,44,$0.88 ,TRUE,$7.41 ,$63.64 ,$63.64 
6b269a47-30d7-49f1-9339-9876d15e8f8a,19562817012,18998071635,23-03-24 21:10,3355,FAILED,$33.55 ,4392.34,$21.96 ,46,$0.92 ,TRUE,$7.19 ,$63.62 ,$63.62 
7e516313-6ec3-4013-9815-bd15fe095687,17473791200,16703883833,04-06-24 21:10,3591,FAILED,$35.91 ,4987.52,$24.94 ,4,$0.08 ,TRUE,$2.37 ,63.3,$63.30 
599e51c9-afd1-4052-92f7-c9a8a7f4b9fe,19164016808,19215348189,25-07-24 21:10,3527,FAILED,$35.27 ,4797.47,$23.99 ,0,$0.00 ,TRUE,$3.97 ,63.23,$63.23 
4c16db51-a44b-4126-b6d6-60a0acd394af,17079875228,15578627932,09-06-24 21:10,3406,BUSY,$34.06 ,4374.17,$21.87 ,47,$0.94 ,TRUE,$6.15 ,$63.02 ,$63.02 
d90634a0-738d-4e19-9d7d-bec845733048,16536026263,14619659903,22-05-24 21:10,3268,FAILED,$32.68 ,4372.71,$21.86 ,30,$0.60 ,TRUE,$7.82 ,$62.96 ,$62.96 
311dd447-6376-47e4-8a4f-cb0474550399,17883216472,16984466364,04-03-24 21:10,3279,BUSY,$32.79 ,4225.78,$21.13 ,50,$1.00 ,TRUE,$7.94 ,$62.86 ,$62.86 
bf5731ee-8901-48a3-a270-2ef244c6e1bd,19113302368,13979782104,03-11-24 21:10,3196,NO_ANSWER,$31.96 ,4745.99,$23.73 ,36,$0.72 ,TRUE,$6.39 ,$62.80 ,$62.80 
c5be156d-5344-4aa0-a8aa-0651af5f1e74,18928206438,18172792565,09-04-24 21:10,3390,BUSY,$33.90 ,4447.9,$22.24 ,14,$0.28 ,TRUE,$6.28 ,$62.70 ,$62.70 
11a43172-96fe-4e8c-baae-b85d7543b171,16876496012,14239678127,28-11-23 21:10,3166,ANSWERED,$31.66 ,4259.59,$21.30 ,24,$0.48 ,TRUE,$9.18 ,$62.62 ,$62.62 
2477ad41-b8ed-492f-8223-9790d4e8e4c4,15646482722,13313829117,28-09-24 21:10,2881,ANSWERED,$28.81 ,4879.52,$24.40 ,1,$0.02 ,TRUE,$9.36 ,62.59,$62.59 
20914d18-83a3-4752-9dd3-177c7a5d4867,12621565056,16451579924,18-06-24 21:10,3364,BUSY,$33.64 ,3997.69,$19.99 ,18,$0.36 ,TRUE,$8.58 ,62.57,$62.57 
327cfbee-e697-4053-8780-026d823e568e,12377931854,14779498568,15-01-24 21:10,3228,BUSY,$32.28 ,4146.11,$20.73 ,31,$0.62 ,TRUE,$8.89 ,$62.52 ,$62.52 
0e8f2dc9-bb80-4f2d-ace8-6b1b7bc746da,15224319657,14673426789,15-01-24 21:10,3590,ANSWERED,$35.90 ,3663.56,$18.32 ,26,$0.52 ,TRUE,$7.73 ,$62.47 ,$62.47 
905e4a98-199a-429d-a696-4d6135ca5d57,19794865260,16547482819,27-10-24 21:10,3234,BUSY,$32.34 ,4208.39,$21.04 ,36,$0.72 ,TRUE,$8.25 ,$62.35 ,$62.35 
8952d968-21e9-4fdb-85f8-8dc2c1ea5582,18768169978,19987206159,30-06-24 21:10,3401,FAILED,$34.01 ,3521.15,$17.61 ,39,$0.78 ,TRUE,$9.95 ,62.35,$62.35 
e5d36dd8-2f69-4020-bfcb-7ac73329188b,17615651952,14052178500,16-07-24 21:10,3219,NO_ANSWER,$32.19 ,3928.52,$19.64 ,50,$1.00 ,TRUE,$9.45 ,$62.28 ,$62.28 
b1e0b063-8690-4d13-83bf-5ea82d6ad069,18535747246,16419444050,13-01-24 21:10,3222,NO_ANSWER,$32.22 ,4795.82,$23.98 ,36,$0.72 ,TRUE,$5.25 ,$62.17 ,$62.17 
e9267023-4568-4d74-9a07-7df85b8edb33,19628116611,18042746014,19-08-24 21:10,3474,ANSWERED,$34.74 ,4186.17,$20.93 ,40,$0.80 ,TRUE,$5.68 ,$62.15 ,$62.15 
57112151-fb0c-4812-a9db-c62702e6dd5a,13342648127,18535126143,07-06-24 21:10,3510,NO_ANSWER,$35.10 ,4111.46,$20.56 ,15,$0.30 ,TRUE,$6.09 ,$62.05 ,$62.05 
80bea96b-eb3a-4dd1-8218-2e2b835d87c6,15057172167,13056565706,16-09-24 21:10,3041,ANSWERED,$30.41 ,4402.92,$22.01 ,37,$0.74 ,TRUE,$8.84 ,$62.00 ,$62.00 
506ff8e1-d7d3-4639-be92-e09d4a41ec95,15366951610,14649883173,28-10-24 21:10,3041,BUSY,$30.41 ,4695.81,$23.48 ,37,$0.74 ,TRUE,$7.34 ,$61.97 ,$61.97 
8e634e21-c9dc-479d-b977-fe3613659641,13296455250,15676936867,18-07-24 21:10,3480,NO_ANSWER,$34.80 ,4466.31,$22.33 ,32,$0.64 ,TRUE,$3.78 ,$61.55 ,$61.55 
93cbb512-604f-45bd-9a99-b95b101f8171,14434423687,14731261921,21-06-24 21:10,3156,ANSWERED,$31.56 ,4070.35,$20.35 ,50,$1.00 ,TRUE,$8.63 ,$61.54 ,$61.54 
d4e77162-d90d-4e11-b9c1-d39fc5ae1e16,17408384367,17397205917,10-08-24 21:10,3350,NO_ANSWER,$33.50 ,4275.08,$21.38 ,16,$0.32 ,TRUE,$6.25 ,61.45,$61.45 
3a7d1f06-db41-4339-a2a2-f54f7acab638,16814156671,14609963841,22-08-24 21:10,3050,NO_ANSWER,$30.50 ,4777.53,$23.89 ,35,$0.70 ,TRUE,$6.31 ,61.4,$61.40 
4c573d44-dab7-4d12-8be4-2158d3f137d8,16188901121,13125665965,23-04-24 21:10,2670,BUSY,$26.70 ,4943.57,$24.72 ,21,$0.42 ,TRUE,$9.50 ,$61.34 ,$61.34 
53352197-afba-4caf-8097-080d37b9470b,18719163990,15145697808,19-09-24 21:10,3498,FAILED,$34.98 ,3572.87,$17.86 ,2,$0.04 ,TRUE,$8.39 ,61.27,$61.27 
9b7ae9ac-ac7a-48a6-8076-940ecf33d953,18212752699,16487876577,23-05-24 21:10,3009,NO_ANSWER,$30.09 ,4391.64,$21.96 ,4,$0.08 ,TRUE,$8.98 ,$61.11 ,$61.11 
21f19ef2-12ea-4c87-83bf-5e15df7b4707,12766499807,13105993583,20-02-24 21:10,3054,FAILED,$30.54 ,4721.22,$23.61 ,21,$0.42 ,TRUE,$6.50 ,$61.07 ,$61.07 
0aee1f50-7250-44ea-b862-a628e2ffa45a,14402405716,19851215178,05-01-24 21:10,2626,ANSWERED,$26.26 ,4980.17,$24.90 ,22,$0.44 ,TRUE,$9.45 ,$61.05 ,$61.05 
81720ea4-7f21-4b5e-a464-9e8d9b2fd1e8,17699519069,19062612423,07-03-24 21:10,3120,NO_ANSWER,$31.20 ,3939.8,$19.70 ,47,$0.94 ,TRUE,$9.17 ,$61.01 ,$61.01 
f32d9dd0-f888-4034-8309-69ce085a7675,17543249545,18437689965,01-07-24 21:10,3044,ANSWERED,$30.44 ,4820.96,$24.10 ,3,$0.06 ,TRUE,$6.39 ,60.99,$60.99 
4951488c-32ab-4a17-971d-82ddf4d83b3e,15795908100,15596192874,28-09-24 21:10,3068,FAILED,$30.68 ,3935.13,$19.68 ,33,$0.66 ,TRUE,$9.85 ,$60.87 ,$60.87 
67b9456f-918c-4f64-82e4-86866a797575,12207029166,13732273396,01-05-24 21:10,2983,FAILED,$29.83 ,4613.61,$23.07 ,9,$0.18 ,TRUE,$7.63 ,$60.71 ,$60.71 
78874f9d-ced1-43bb-93b8-8cb26e89763d,19874156242,15395251146,22-10-24 21:10,2955,ANSWERED,$29.55 ,4574.14,$22.87 ,26,$0.52 ,TRUE,$7.70 ,60.64,$60.64 
6214ee53-531e-4bf4-bfe3-d25bdfdd3077,16906708813,13679177207,17-04-24 21:10,2978,FAILED,$29.78 ,4437.33,$22.19 ,31,$0.62 ,TRUE,$7.96 ,$60.55 ,$60.55 
40d63446-f3fc-46da-bc36-4bee1ee1a484,18388915204,17178467585,02-06-24 21:10,3302,ANSWERED,$33.02 ,4521.39,$22.61 ,8,$0.16 ,TRUE,$4.64 ,$60.43 ,$60.43 
c85c9047-c56c-4bdc-99fd-416d248f933b,18859539406,18607221080,07-04-24 21:10,2952,BUSY,$29.52 ,4686.29,$23.43 ,46,$0.92 ,TRUE,$6.52 ,$60.39 ,$60.39 
aef527e7-704c-4a15-96e3-15a7d2e643bb,19896095451,14242357156,15-08-24 21:10,3479,NO_ANSWER,$34.79 ,3301.51,$16.51 ,24,$0.48 ,TRUE,$8.47 ,60.25,$60.25 
fcc976c3-3b55-4d69-b0a8-87dca33d8e06,15108742983,18612793647,21-06-24 21:10,2979,BUSY,$29.79 ,4587.88,$22.94 ,25,$0.50 ,TRUE,$7.01 ,$60.24 ,$60.24 
24159794-93b9-4aa5-9f7a-c4c2fcb034e8,19051838535,14423263061,04-04-24 21:10,3480,NO_ANSWER,$34.80 ,4422.11,$22.11 ,8,$0.16 ,TRUE,$3.16 ,60.23,$60.23 
6f912a4e-dc6c-4fbb-8c45-1e869d4f2738,12629015944,13495904963,21-07-24 21:10,3024,ANSWERED,$30.24 ,4496.51,$22.48 ,10,$0.20 ,TRUE,$7.30 ,$60.22 ,$60.22 
2dfc1cc5-9060-4a6b-bb39-0b86b9186109,18125619667,17249101244,06-09-24 21:10,3482,NO_ANSWER,$34.82 ,4931.41,$24.66 ,36,$0.72 ,FALSE,$0.00 ,$60.20 ,$60.20 
e4fbc621-041c-43c5-94dc-fb23cb4fc8ef,18278405749,14834696813,09-07-24 21:10,3512,ANSWERED,$35.12 ,3008.82,$15.04 ,28,$0.56 ,TRUE,$9.31 ,$60.03 ,$60.03 
09e26758-5fb8-43d1-b362-d00f5dd0fff7,18509324810,19794858654,27-08-24 21:10,3259,FAILED,$32.59 ,3579.31,$17.90 ,20,$0.40 ,TRUE,$9.09 ,59.98,$59.98 
9d0c9252-bea4-4747-86a2-046be4ab6bbf,12584405662,14685189408,09-09-24 21:10,2763,NO_ANSWER,$27.63 ,4514.32,$22.57 ,36,$0.72 ,TRUE,$9.05 ,$59.97 ,$59.97 
2c65790b-e187-41fa-b80b-ca7535c6e7bd,16157254347,19539676475,12-05-24 21:10,3327,FAILED,$33.27 ,4105.42,$20.53 ,0,$0.00 ,TRUE,$6.14 ,59.94,$59.94 
e2d71783-01e1-4d38-9125-e0b3c09667ea,14837975889,17794423701,27-06-24 21:10,2988,FAILED,$29.88 ,4500.11,$22.50 ,2,$0.04 ,TRUE,$7.50 ,59.92,$59.92 
436df4ac-931e-486a-af9d-cb96c49d8a2f,13007386915,19218749371,28-07-24 21:10,3543,ANSWERED,$35.43 ,4796.63,$23.98 ,24,$0.48 ,FALSE,$0.00 ,59.89,$59.89 
6efcb5bc-1581-4838-be9e-5c1f795fa759,12505795114,15825167619,27-05-24 21:10,3515,ANSWERED,$35.15 ,4429.75,$22.15 ,20,$0.40 ,TRUE,$2.19 ,59.89,$59.89 
609cf87d-d4cf-4667-a629-614246df5c8d,15845129338,15479862268,28-11-23 21:10,3600,FAILED,$36.00 ,4595.11,$22.98 ,44,$0.88 ,FALSE,$0.00 ,59.86,$59.86 
5c8e6a46-e73d-4319-aad0-213fd7e2c184,13564452814,18445146389,16-09-24 21:10,3366,NO_ANSWER,$33.66 ,3222.31,$16.11 ,32,$0.64 ,TRUE,$9.42 ,$59.83 ,$59.83 
0f5cceb7-2028-403f-8d55-5a7719a23f48,17057156486,19762888171,16-08-24 21:10,3477,NO_ANSWER,$34.77 ,4218.91,$21.09 ,46,$0.92 ,TRUE,$3.05 ,$59.83 ,$59.83 
105508ab-c2bf-4d08-a959-c67c54987fc9,12351303398,12366767492,04-09-24 21:10,2859,BUSY,$28.59 ,4891.11,$24.46 ,50,$1.00 ,TRUE,$5.76 ,59.81,$59.81 
13e1b484-ef28-4bc0-b017-efbeaab82e3b,18121128050,18274849397,06-02-24 21:10,3225,BUSY,$32.25 ,4977.71,$24.89 ,45,$0.90 ,TRUE,$1.75 ,$59.79 ,$59.79 
8b7b4aa7-556f-406b-9955-bee5d8c16f7c,17362327429,15043533809,21-05-24 21:10,3417,FAILED,$34.17 ,4442.85,$22.21 ,40,$0.80 ,TRUE,$2.59 ,59.77,$59.77 
9c79b822-a1e2-4be1-83f5-027f56609758,14397597388,18225293967,08-04-24 21:10,3144,BUSY,$31.44 ,4479.78,$22.40 ,18,$0.36 ,TRUE,$5.51 ,$59.71 ,$59.71 
cfb46fee-c4fa-4914-8c3b-43d592a7023e,19581595610,19336862924,19-07-24 21:10,3512,ANSWERED,$35.12 ,4612.22,$23.06 ,26,$0.52 ,TRUE,$0.94 ,59.64,$59.64 
d6e4e005-6b1d-4c98-b32b-d7f56d20ad04,13775166720,13878553187,12-04-24 21:10,3372,BUSY,$33.72 ,3241.33,$16.21 ,36,$0.72 ,TRUE,$8.92 ,$59.57 ,$59.57 
bf67ca2f-fff4-4966-afb5-dc8a3837de5c,18728556478,18953481641,27-06-24 21:10,2852,FAILED,$28.52 ,4277.46,$21.39 ,32,$0.64 ,TRUE,$9.01 ,59.56,$59.56 
99f8a2cd-3c42-4c0e-8ca3-3f09a56b6cb3,13237744522,15382363013,03-01-24 21:10,3514,ANSWERED,$35.14 ,4616.15,$23.08 ,16,$0.32 ,TRUE,$0.96 ,$59.50 ,$59.50 
e81cd707-68c4-450d-b185-45d723afdd45,12428349157,16933817024,21-03-24 21:10,2778,NO_ANSWER,$27.78 ,4255.25,$21.28 ,40,$0.80 ,TRUE,$9.62 ,$59.48 ,$59.48 
41cd142d-99ef-4a30-a26a-af191001d0dc,13423016250,19267237730,18-12-23 21:10,3437,BUSY,$34.37 ,3116.83,$15.58 ,1,$0.02 ,TRUE,$9.50 ,$59.47 ,$59.47 
57cb8be6-a371-45ef-8fba-af74cc7fd123,18208988012,13313943299,17-08-24 21:10,3232,BUSY,$32.32 ,4972.69,$24.86 ,22,$0.44 ,TRUE,$1.84 ,$59.46 ,$59.46 
f4a7f8ce-fd22-47bb-b8d9-56a0c13be77d,18505159706,15961419053,21-10-24 21:10,3051,NO_ANSWER,$30.51 ,4444.85,$22.22 ,18,$0.36 ,TRUE,$6.34 ,59.43,$59.43 
fc182a56-6249-4583-bd19-1193b1da0f99,18679346816,14397748622,03-10-24 21:10,3439,ANSWERED,$34.39 ,4807.43,$24.04 ,46,$0.92 ,FALSE,$0.00 ,$59.35 ,$59.35 
93245efe-0524-478c-b8fb-b2479161811e,13619068772,19306906627,04-04-24 21:10,2912,ANSWERED,$29.12 ,4939.83,$24.70 ,45,$0.90 ,TRUE,$4.57 ,$59.29 ,$59.29 
b8487f4b-2917-4113-9b22-55213ff78a7e,12756641308,14823721844,31-07-24 21:10,3417,NO_ANSWER,$34.17 ,3437.64,$17.19 ,40,$0.80 ,TRUE,$7.00 ,$59.16 ,$59.16 
2defccd6-4b7a-4a6f-8c80-5176bc83eea7,14617192832,16678771923,25-01-24 21:10,3062,BUSY,$30.62 ,4302.43,$21.51 ,46,$0.92 ,TRUE,$6.09 ,$59.14 ,$59.14 
98bde98e-ddf9-408d-a4f5-4f19cc6105cb,13627077293,12012982837,13-09-24 21:10,2704,BUSY,$27.04 ,4431.13,$22.16 ,44,$0.88 ,TRUE,$9.05 ,59.13,$59.13 
6117ebba-935a-423e-a1fe-830b173da9d8,15639723331,18846759691,06-02-24 21:10,3009,NO_ANSWER,$30.09 ,4707.35,$23.54 ,48,$0.96 ,TRUE,$4.54 ,59.13,$59.13 
3303567c-5af5-4b24-94f8-4f7b5efa21b6,15516656389,16004919815,06-07-24 21:10,3411,BUSY,$34.11 ,4981.12,$24.91 ,5,$0.10 ,FALSE,$0.00 ,$59.12 ,$59.12 
74388a61-cd91-45a8-a3db-3f9896e74d56,13016047248,18237658038,03-10-24 21:10,2874,ANSWERED,$28.74 ,4093.79,$20.47 ,4,$0.08 ,TRUE,$9.80 ,59.09,$59.09 
c99226a4-8158-466e-9dbe-b026ecbfaf26,16567474467,12854275856,05-02-24 21:10,3272,FAILED,$32.72 ,4171.26,$20.86 ,27,$0.54 ,TRUE,$4.92 ,$59.04 ,$59.04 
677d6dea-bf61-4fde-b23c-dfd3e1a0b623,15861055218,19424126702,03-04-24 21:10,3070,ANSWERED,$30.70 ,4012.96,$20.06 ,33,$0.66 ,TRUE,$7.62 ,59.04,$59.04 
038a2cc1-7071-4a72-9a11-76bc2229d9b9,12631084587,19146846749,30-03-24 21:10,3536,FAILED,$35.36 ,2806.09,$14.03 ,31,$0.62 ,TRUE,$9.01 ,59.02,$59.02 
1d05c3dc-90c7-411f-ba5b-049b62c9c017,14545581933,19033097245,15-06-24 21:10,3271,FAILED,$32.71 ,4882.4,$24.41 ,19,$0.38 ,TRUE,$1.51 ,59.01,$59.01 
d533f396-1272-4a79-ad18-2b312a28fc39,15957164677,14534743555,11-07-24 21:10,3053,ANSWERED,$30.53 ,3807.45,$19.04 ,43,$0.86 ,TRUE,$8.44 ,$58.87 ,$58.87 
c944aaa3-34e6-41d3-a173-7e1e4317acce,19056329464,15698224589,29-12-23 21:10,3320,BUSY,$33.20 ,3815.34,$19.08 ,50,$1.00 ,TRUE,$5.56 ,$58.84 ,$58.84 
21d3015e-28e5-47c2-85c0-2951b07fe2b4,16059538684,16705161022,23-03-24 21:10,3063,NO_ANSWER,$30.63 ,4106.62,$20.53 ,2,$0.04 ,TRUE,$7.61 ,58.81,$58.81 
2959d4d4-76c7-4e2d-9aeb-37288f74aeca,15951084582,14557388755,29-07-24 21:10,3371,FAILED,$33.71 ,4886.11,$24.43 ,33,$0.66 ,FALSE,$0.00 ,$58.80 ,$58.80 
fb92a799-c8db-4abc-9b7b-0071e2988011,16803093090,16627353132,22-04-24 21:10,3349,FAILED,$33.49 ,4931.3,$24.66 ,30,$0.60 ,FALSE,$0.00 ,58.75,$58.75 
296c189a-2d70-4f98-ba2c-33ed7c41562f,19676677047,15006954729,11-08-24 21:10,3359,BUSY,$33.59 ,4862.32,$24.31 ,41,$0.82 ,FALSE,$0.00 ,58.72,$58.72 
10f66534-c50a-4d40-9645-a705db241587,15554396625,16847408933,12-09-24 21:10,2826,BUSY,$28.26 ,4088.27,$20.44 ,2,$0.04 ,TRUE,$9.94 ,$58.68 ,$58.68 
c27c882e-7aef-48d2-8d27-a1c3bf48202b,16036352097,14753959749,22-10-24 21:10,3498,ANSWERED,$34.98 ,3939.59,$19.70 ,28,$0.56 ,TRUE,$3.26 ,58.5,$58.50 
74d7eeb0-fdc6-4cab-9073-f0aead6cb14b,18489994764,12866123135,11-12-23 21:10,2628,BUSY,$26.28 ,4837.31,$24.19 ,33,$0.66 ,TRUE,$7.34 ,$58.47 ,$58.47 
633f2f68-1ddf-4187-b9aa-be7a19ea6c59,17355597569,13592661525,07-08-24 21:10,3005,FAILED,$30.05 ,3705.02,$18.53 ,43,$0.86 ,TRUE,$8.92 ,$58.36 ,$58.36 
5315f6ce-94d4-460c-954e-f27b02d82ad5,14026649757,19493761703,09-12-23 21:10,3473,FAILED,$34.73 ,4685.08,$23.43 ,9,$0.18 ,FALSE,$0.00 ,58.34,$58.34 
9d63ff96-8094-4d74-a6b9-09478afc1bdf,17574153766,14877411267,13-06-24 21:10,3205,FAILED,$32.05 ,4971.08,$24.86 ,28,$0.56 ,TRUE,$0.82 ,$58.29 ,$58.29 
ee9ce10e-11c6-43b9-a408-5ce0fc75f9d2,15935069459,15089822856,26-04-24 21:10,3378,NO_ANSWER,$33.78 ,4462.32,$22.31 ,1,$0.02 ,TRUE,$2.14 ,58.25,$58.25 
b33e13de-c342-499d-ac06-321449185a12,14256107131,19622649384,10-09-24 21:10,3247,FAILED,$32.47 ,4276.58,$21.38 ,48,$0.96 ,TRUE,$3.43 ,58.24,$58.24 
3fbebfcf-ba1c-4791-9e54-4e44eb342881,19778567727,14261823171,19-04-24 21:10,3264,ANSWERED,$32.64 ,4953.29,$24.77 ,41,$0.82 ,FALSE,$0.00 ,$58.23 ,$58.23 
9407856e-a4a7-43a3-9643-3d8c309452cd,18226439457,13048541969,11-01-24 21:10,3234,NO_ANSWER,$32.34 ,4968.02,$24.84 ,50,$1.00 ,FALSE,$0.00 ,58.18,$58.18 
3de0e4cd-6a40-41a5-b276-50c5bfd4ce4c,16026932546,19596413426,12-12-23 21:10,3201,NO_ANSWER,$32.01 ,3286.69,$16.43 ,46,$0.92 ,TRUE,$8.82 ,$58.18 ,$58.18 
a5d5b0ba-d142-4893-bbd4-5e4dd114aa9a,17185326536,16197668996,20-02-24 21:10,2824,ANSWERED,$28.24 ,4490.24,$22.45 ,45,$0.90 ,TRUE,$6.58 ,58.17,$58.17 
cd8bb533-a44e-402f-8639-63e30603d4f3,18365902545,19844732526,21-12-23 21:10,3389,NO_ANSWER,$33.89 ,2861.42,$14.31 ,42,$0.84 ,TRUE,$9.09 ,58.13,$58.13 
14a5250e-3915-47cc-82df-541db1ebc4c8,19828209773,13918519419,04-10-24 21:10,3223,ANSWERED,$32.23 ,4760.09,$23.80 ,48,$0.96 ,TRUE,$1.13 ,58.12,$58.12 
7d601d48-f819-44dd-8242-5812dfee9063,14075252146,18315989322,01-03-24 21:10,2857,ANSWERED,$28.57 ,3903.28,$19.52 ,27,$0.54 ,TRUE,$9.48 ,$58.11 ,$58.11 
66fe8bcd-0216-4d50-ae16-cbaa69eafa71,14292265072,17352822782,03-05-24 21:10,2833,BUSY,$28.33 ,4779.77,$23.90 ,46,$0.92 ,TRUE,$4.83 ,$57.98 ,$57.98 
ace21b42-49ec-48c5-9182-07d32416db4d,14428796180,12728687405,22-09-24 21:10,2651,FAILED,$26.51 ,4356.27,$21.78 ,16,$0.32 ,TRUE,$9.35 ,57.96,$57.96 
187fcfdd-1770-42c0-ac8f-fd3fa91738c3,15721026747,12911948036,13-04-24 21:10,3392,ANSWERED,$33.92 ,3844.76,$19.22 ,5,$0.10 ,TRUE,$4.69 ,$57.93 ,$57.93 
a3ba5ac5-0701-4497-9825-ec082dc560b8,19518159952,18768406941,03-10-24 21:10,3002,NO_ANSWER,$30.02 ,4625.94,$23.13 ,15,$0.30 ,TRUE,$4.46 ,$57.91 ,$57.91 
